wavelength,flux,e_flux
8098.771045,1.206489776e-17,1.206489776e-17
8095.413385,1.662596126e-18,1.662596126e-18
8092.056201,1.611737491e-18,1.611737491e-18
8088.699493,6.023770867e-19,6.023770867e-19
8085.34326,8.978495702e-18,8.978495702e-18
8081.9875,6.271192252e-18,6.271192252e-18
8078.632213,2.976924362e-17,2.976924362e-17
8075.277398,3.211509813e-17,3.211509813e-17
8071.923053,2.161392933e-17,2.161392933e-17
8068.569179,3.528681373e-17,3.528681373e-17
8065.215773,5.023970468e-17,5.023970468e-17
8061.862835,5.182076726e-17,5.182076726e-17
8058.510364,4.322445692e-17,4.322445692e-17
8055.158359,5.759138737e-17,5.759138737e-17
8051.806818,4.042003913e-17,4.042003913e-17
8048.455742,3.244926678e-17,3.244926678e-17
8045.105129,2.673598539e-17,2.673598539e-17
8041.754978,3.49845089e-17,3.49845089e-17
8038.405288,2.272676043e-17,2.272676043e-17
8035.056058,1.4233581e-17,1.4233581e-17
8031.707287,1.480588631e-17,1.480588631e-17
8028.358974,2.603425133e-17,2.603425133e-17
8025.011119,3.192627501e-17,3.192627501e-17
8021.66372,4.319820813e-17,4.319820813e-17
8018.316777,3.631247042e-17,3.631247042e-17
8014.970288,5.280473394e-17,5.280473394e-17
8011.624253,5.914303641e-17,5.914303641e-17
8008.27867,5.052369901e-17,5.052369901e-17
8004.933539,4.47202552e-17,4.47202552e-17
8001.588859,6.304944966e-17,6.304944966e-17
7998.244628,3.057025703e-17,3.057025703e-17
7994.900847,4.984576212e-17,4.984576212e-17
7991.557513,4.707052803e-17,4.707052803e-17
7988.214627,3.286936742e-17,3.286936742e-17
7984.872186,2.89167139e-17,2.89167139e-17
7981.530191,2.724691727e-17,2.724691727e-17
7978.188641,2.895944729e-17,2.895944729e-17
7974.847533,1.513429704e-17,1.513429704e-17
7971.506868,2.680369289e-17,2.680369289e-17
7968.166645,3.406911091e-17,3.406911091e-17
7964.826863,3.862815426e-17,3.862815426e-17
7961.48752,5.599370524e-17,5.599370524e-17
7958.148616,6.00396997e-17,6.00396997e-17
7954.81015,4.144803211e-17,4.144803211e-17
7951.472121,4.915382219e-17,4.915382219e-17
7948.134529,5.015586895e-17,5.015586895e-17
7944.797372,6.960497891e-17,6.960497891e-17
7941.460649,4.013490869e-17,4.013490869e-17
7938.12436,4.480602229e-17,4.480602229e-17
7934.788503,3.467728424e-17,3.467728424e-17
7931.453078,2.804788727e-17,2.804788727e-17
7928.118084,2.388661891e-17,2.388661891e-17
7924.78352,2.74874758e-17,2.74874758e-17
7921.449386,4.015917917e-17,4.015917917e-17
7918.115679,4.374164487e-17,4.374164487e-17
7914.7824,4.337950916e-17,4.337950916e-17
7911.449548,5.450754969e-17,5.450754969e-17
7908.117121,4.971171175e-17,4.971171175e-17
7904.78512,3.931727051e-17,3.931727051e-17
7901.453542,5.273431052e-17,5.273431052e-17
7898.122387,4.798977713e-17,4.798977713e-17
7894.791654,4.201776059e-17,4.201776059e-17
7891.461343,3.730405729e-17,3.730405729e-17
7888.131453,3.713805746e-17,3.713805746e-17
7884.801982,3.450386381e-17,3.450386381e-17
7881.47293,3.392057376e-17,3.392057376e-17
7878.144296,2.409414152e-17,2.409414152e-17
7874.816079,3.252647381e-17,3.252647381e-17
7871.488279,5.079791487e-17,5.079791487e-17
7868.160894,5.586178317e-17,5.586178317e-17
7864.833924,6.137971351e-17,6.137971351e-17
7861.507367,4.327142107e-17,4.327142107e-17
7858.181224,6.078564618e-17,6.078564618e-17
7854.855493,4.529578074e-17,4.529578074e-17
7851.530173,4.201332853e-17,4.201332853e-17
7848.205264,3.27894074e-17,3.27894074e-17
7844.880764,5.814833224e-17,5.814833224e-17
7841.556674,2.582238996e-17,2.582238996e-17
7838.232991,2.431990683e-17,2.431990683e-17
7834.909716,4.195434984e-17,4.195434984e-17
7831.586847,3.312347105e-17,3.312347105e-17
7828.264384,2.822997882e-17,2.822997882e-17
7824.942326,2.267089519e-17,2.267089519e-17
7821.620671,4.083252444e-17,4.083252444e-17
7818.29942,5.519004035e-17,5.519004035e-17
7814.978572,5.471496531e-17,5.471496531e-17
7811.658125,4.731311861e-17,4.731311861e-17
7808.338079,4.795580707e-17,4.795580707e-17
7805.018433,5.195746168e-17,5.195746168e-17
7801.699186,6.294672715e-17,6.294672715e-17
7798.380338,4.466583311e-17,4.466583311e-17
7795.061888,3.897756727e-17,3.897756727e-17
7791.743834,2.312270448e-17,2.312270448e-17
7788.426177,3.675636345e-17,3.675636345e-17
7785.108915,3.020162704e-17,3.020162704e-17
7781.792047,3.602130591e-17,3.602130591e-17
7778.475574,4.053352154e-17,4.053352154e-17
7775.159493,4.140232028e-17,4.140232028e-17
7771.843805,4.609300788e-17,4.609300788e-17
7768.528508,5.60775224e-17,5.60775224e-17
7765.213602,5.733121295e-17,5.733121295e-17
7761.899086,4.433740364e-17,4.433740364e-17
7758.58496,5.711330551e-17,5.711330551e-17
7755.271221,3.279849667e-17,3.279849667e-17
7751.957871,5.755550428e-17,5.755550428e-17
7748.644907,3.985300745e-17,3.985300745e-17
7745.33233,2.815254053e-17,2.815254053e-17
7742.020138,3.091264777e-17,3.091264777e-17
7738.708331,2.524986779e-17,2.524986779e-17
7735.396907,3.666782519e-17,3.666782519e-17
7732.085867,2.986981394e-17,2.986981394e-17
7728.77521,3.870098661e-17,3.870098661e-17
7725.464934,3.299240094e-17,3.299240094e-17
7722.15504,3.181494389e-17,3.181494389e-17
7718.845525,2.914555677e-17,2.914555677e-17
7715.53639,3.984428388e-17,3.984428388e-17
7712.227635,5.282231964e-17,5.282231964e-17
7708.919257,3.888068949e-17,3.888068949e-17
7705.611256,2.659501784e-17,2.659501784e-17
7702.303633,5.593817266e-17,5.593817266e-17
7698.996385,5.581476001e-17,5.581476001e-17
7695.689512,5.772631289e-17,5.772631289e-17
7692.383014,4.573487085e-17,4.573487085e-17
7689.07689,3.90578795e-17,3.90578795e-17
7685.771139,5.011575327e-17,5.011575327e-17
7682.465761,2.480174912e-17,2.480174912e-17
7679.160754,3.039797732e-17,3.039797732e-17
7675.856118,4.07769201e-17,4.07769201e-17
7672.551852,2.664523466e-17,2.664523466e-17
7669.247956,3.403334925e-17,3.403334925e-17
7665.944429,3.829363504e-17,3.829363504e-17
7662.641271,3.924723239e-17,3.924723239e-17
7659.338479,4.906682946e-17,4.906682946e-17
7656.036055,4.037493791e-17,4.037493791e-17
7652.733997,4.367436898e-17,4.367436898e-17
7649.432304,4.034495676e-17,4.034495676e-17
7646.130976,4.645497825e-17,4.645497825e-17
7642.830012,1.801554545e-17,1.801554545e-17
7639.529412,3.119387551e-17,3.119387551e-17
7636.229174,1.49584351e-17,1.49584351e-17
7632.929299,1.835725796e-17,1.835725796e-17
7629.629785,2.92271131e-17,2.92271131e-17
7626.330631,2.959436315e-17,2.959436315e-17
7623.031838,2.91600792e-17,2.91600792e-17
7619.733405,2.856059655e-17,2.856059655e-17
7616.43533,2.026690392e-17,2.026690392e-17
7613.137613,1.553250677e-17,1.553250677e-17
7609.840254,2.694988003e-17,2.694988003e-17
7606.543251,2.648846966e-17,2.648846966e-17
7603.246605,4.069308556e-17,4.069308556e-17
7599.950314,3.553861594e-17,3.553861594e-17
7596.654378,4.455698389e-17,4.455698389e-17
7593.358797,5.477312539e-17,5.477312539e-17
7590.063569,4.360551459e-17,4.360551459e-17
7586.768694,4.701909108e-17,4.701909108e-17
7583.474171,3.521997696e-17,3.521997696e-17
7580.18,3.918392202e-17,3.918392202e-17
7576.88618,4.750933614e-17,4.750933614e-17
7573.592711,3.726244548e-17,3.726244548e-17
7570.299591,3.884651705e-17,3.884651705e-17
7567.00682,5.255189509e-17,5.255189509e-17
