event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2007jg,54380.47755,18.0996,0.0255,F,r',,,2012ApJS..200...12H
SN2007jg,54380.47986,18.1258,0.0273,F,V,,,2012ApJS..200...12H
SN2007jg,54380.48288,18.8230,0.0429,F,B,,,2012ApJS..200...12H
SN2007jg,54380.48663,19.2248,0.1564,F,U,,,2012ApJS..200...12H
SN2007jg,54381.47411,18.8697,0.0597,F,i',,,2012ApJS..200...12H
SN2007jg,54381.47643,18.1511,0.0266,F,r',,,2012ApJS..200...12H
SN2007jg,54381.47875,18.2138,0.0323,F,V,,,2012ApJS..200...12H
SN2007jg,54381.48176,18.8239,0.0420,F,B,,,2012ApJS..200...12H
SN2007jg,54381.48550,19.9640,0.2837,F,U,,,2012ApJS..200...12H
SN2007jg,54382.454478,18.171,0.017,F,r',,SDSS,2014arXiv1401.3317S
SN2007jg,54382.455308,18.756,0.015,F,i',,SDSS,2014arXiv1401.3317S
SN2007jg,54382.456137,20.570,0.095,F,u',,SDSS,2014arXiv1401.3317S
SN2007jg,54382.456966,18.566,0.043,F,z',,SDSS,2014arXiv1401.3317S
SN2007jg,54382.457796,18.682,0.018,F,g',,SDSS,2014arXiv1401.3317S
SN2007jg,54383.26442,19.104,0.018,F,B,,,2010AJ....139..519C
SN2007jg,54383.26442,18.311,0.012,F,V,,,2010AJ....139..519C
SN2007jg,54383.26442,18.687,0.010,F,g,,,2010AJ....139..519C
SN2007jg,54383.26442,18.898,0.040,F,i,,,2010AJ....139..519C
SN2007jg,54383.26442,18.221,0.015,F,r,,,2010AJ....139..519C
SN2007jg,54383.26442,20.684,0.139,F,u,,,2010AJ....139..519C
SN2007jg,54383.42005,18.7379,0.0518,F,i',,,2012ApJS..200...12H
SN2007jg,54383.42237,18.2053,0.0260,F,r',,,2012ApJS..200...12H
SN2007jg,54383.42468,18.3640,0.0364,F,V,,,2012ApJS..200...12H
SN2007jg,54383.42770,19.1188,0.0534,F,B,,,2012ApJS..200...12H
SN2007jg,54383.43145,19.8722,0.4550,F,U,,,2012ApJS..200...12H
SN2007jg,54384.44144,18.7736,0.0465,F,i',,,2012ApJS..200...12H
SN2007jg,54384.44377,18.2400,0.0269,F,r',,,2012ApJS..200...12H
SN2007jg,54384.44610,18.4193,0.0363,F,V,,,2012ApJS..200...12H
SN2007jg,54384.44912,19.2031,0.0636,F,B,,,2012ApJS..200...12H
SN2007jg,54384.45286,19.8794,0.4024,F,U,,,2012ApJS..200...12H
SN2007jg,54385.35080,19.366,0.022,F,B,,,2010AJ....139..519C
SN2007jg,54385.35080,18.403,0.012,F,V,,,2010AJ....139..519C
SN2007jg,54385.35080,18.910,0.012,F,g,,,2010AJ....139..519C
SN2007jg,54385.35080,18.921,0.043,F,i,,,2010AJ....139..519C
SN2007jg,54385.35080,18.254,0.016,F,r,,,2010AJ....139..519C
SN2007jg,54385.35080,21.699,0.426,F,u,,,2010AJ....139..519C
SN2007jg,54385.472597,18.235,0.020,F,r',,SDSS,2014arXiv1401.3317S
SN2007jg,54385.473427,18.682,0.014,F,i',,SDSS,2014arXiv1401.3317S
SN2007jg,54385.474256,20.921,0.118,F,u',,SDSS,2014arXiv1401.3317S
SN2007jg,54385.475085,18.550,0.038,F,z',,SDSS,2014arXiv1401.3317S
SN2007jg,54385.475915,18.970,0.018,F,g',,SDSS,2014arXiv1401.3317S
SN2007jg,54386.34394,18.211,0.039,F,Y,,,2010AJ....139..519C
SN2007jg,54387.31560,18.753,0.171,F,J,,,2010AJ....139..519C
SN2007jg,54387.473100,18.250,0.019,F,r',,SDSS,2014arXiv1401.3317S
SN2007jg,54387.473930,18.641,0.020,F,i',,SDSS,2014arXiv1401.3317S
SN2007jg,54387.474759,21.464,0.227,F,u',,SDSS,2014arXiv1401.3317S
SN2007jg,54387.475588,18.551,0.042,F,z',,SDSS,2014arXiv1401.3317S
SN2007jg,54387.476418,19.143,0.022,F,g',,SDSS,2014arXiv1401.3317S
SN2007jg,54389.45093,18.5872,0.0470,F,i',,,2012ApJS..200...12H
SN2007jg,54389.45323,18.3368,0.0303,F,r',,,2012ApJS..200...12H
SN2007jg,54389.45556,18.6246,0.0423,F,V,,,2012ApJS..200...12H
SN2007jg,54389.46042,19.8233,0.1801,F,B,,,2012ApJS..200...12H
SN2007jg,54390.467189,21.708,0.398,T,u',,SDSS,2014arXiv1401.3317S
SN2007jg,54390.468018,18.465,0.062,F,z',,SDSS,2014arXiv1401.3317S
SN2007jg,54391.474213,18.390,0.021,F,r',,SDSS,2014arXiv1401.3317S
SN2007jg,54391.475042,18.562,0.034,F,i',,SDSS,2014arXiv1401.3317S
SN2007jg,54391.475872,21.300,0.249,F,u',,SDSS,2014arXiv1401.3317S
SN2007jg,54391.476701,18.531,0.056,F,z',,SDSS,2014arXiv1401.3317S
SN2007jg,54391.477530,19.488,0.027,F,g',,SDSS,2014arXiv1401.3317S
SN2007jg,54392.33038,19.955,0.029,F,B,,,2010AJ....139..519C
SN2007jg,54392.33038,18.825,0.017,F,V,,,2010AJ....139..519C
SN2007jg,54392.33038,19.543,0.019,F,g,,,2010AJ....139..519C
SN2007jg,54392.33038,18.647,0.032,F,i,,,2010AJ....139..519C
SN2007jg,54392.33038,18.370,0.017,F,r,,,2010AJ....139..519C
SN2007jg,54394.26627,20.075,0.037,F,B,,,2010AJ....139..519C
SN2007jg,54394.26627,18.982,0.018,F,V,,,2010AJ....139..519C
SN2007jg,54394.26627,19.692,0.021,F,g,,,2010AJ....139..519C
SN2007jg,54394.26627,18.644,0.032,F,i,,,2010AJ....139..519C
SN2007jg,54394.26627,18.497,0.017,F,r,,,2010AJ....139..519C
SN2007jg,54394.42405,18.5061,0.0467,F,i',,,2012ApJS..200...12H
SN2007jg,54394.42976,18.4970,0.0323,F,r',,,2012ApJS..200...12H
SN2007jg,54394.43207,18.9543,0.0620,F,V,,,2012ApJS..200...12H
SN2007jg,54394.43508,20.1674,0.1211,F,B,,,2012ApJS..200...12H
SN2007jg,54394.455987,18.538,0.022,F,r',,SDSS,2014arXiv1401.3317S
SN2007jg,54394.457646,21.573,0.361,F,u',,SDSS,2014arXiv1401.3317S
SN2007jg,54394.458475,18.619,0.069,F,z',,SDSS,2014arXiv1401.3317S
SN2007jg,54394.459304,19.750,0.042,F,g',,SDSS,2014arXiv1401.3317S
SN2007jg,54395.31087,20.137,0.271,F,B,,,2010AJ....139..519C
SN2007jg,54395.31087,19.088,0.090,F,V,,,2010AJ....139..519C
SN2007jg,54395.31087,19.702,0.053,F,g,,,2010AJ....139..519C
SN2007jg,54395.31087,18.527,0.031,F,r,,,2010AJ....139..519C
SN2007jg,54395.38615,18.5302,0.1060,F,i',,,2012ApJS..200...12H
SN2007jg,54395.38846,18.6329,0.0828,F,r',,,2012ApJS..200...12H
SN2007jg,54395.39076,19.2114,0.1437,F,V,,,2012ApJS..200...12H
SN2007jg,54395.39379,20.1620,0.3032,F,B,,,2012ApJS..200...12H
SN2007jg,54396.24338,18.304,0.154,F,H,,,2010AJ....139..519C
SN2007jg,54396.24338,17.796,0.016,F,Y,,,2010AJ....139..519C
SN2007jg,54396.476148,18.702,0.022,F,r',,SDSS,2014arXiv1401.3317S
SN2007jg,54396.476977,18.646,0.034,F,i',,SDSS,2014arXiv1401.3317S
SN2007jg,54396.477807,21.960,0.531,T,u',,SDSS,2014arXiv1401.3317S
SN2007jg,54396.478636,18.536,0.057,F,z',,SDSS,2014arXiv1401.3317S
SN2007jg,54396.479465,19.910,0.036,F,g',,SDSS,2014arXiv1401.3317S
SN2007jg,54397.24264,20.239,0.097,F,B,,,2010AJ....139..519C
SN2007jg,54397.24264,19.125,0.031,F,V,,,2010AJ....139..519C
SN2007jg,54397.24264,19.889,0.050,F,g,,,2010AJ....139..519C
SN2007jg,54397.24264,18.758,0.028,F,i,,,2010AJ....139..519C
SN2007jg,54397.24264,18.679,0.020,F,r,,,2010AJ....139..519C
SN2007jg,54398.46718,18.6902,0.0533,F,r',,,2012ApJS..200...12H
SN2007jg,54398.46950,19.3019,0.1055,F,V,,,2012ApJS..200...12H
SN2007jg,54398.47251,20.1449,0.3619,F,B,,,2012ApJS..200...12H
SN2007jg,54399.28942,18.354,0.204,F,H,,,2010AJ....139..519C
SN2007jg,54399.28942,17.916,0.022,F,Y,,,2010AJ....139..519C
SN2007jg,54400.39889,19.3267,0.1573,F,V,,,2012ApJS..200...12H
SN2007jg,54401.47078,19.5115,0.1810,F,V,,,2012ApJS..200...12H
SN2007jg,54402.38520,19.6448,0.1884,F,V,,,2012ApJS..200...12H
SN2007jg,54402.466503,19.128,0.030,F,r',,SDSS,2014arXiv1401.3317S
SN2007jg,54402.467332,19.122,0.035,F,i',,SDSS,2014arXiv1401.3317S
SN2007jg,54402.468161,20.869,0.432,T,u',,SDSS,2014arXiv1401.3317S
SN2007jg,54402.468991,19.197,0.097,F,z',,SDSS,2014arXiv1401.3317S
SN2007jg,54402.469820,20.325,0.085,F,g',,SDSS,2014arXiv1401.3317S
SN2007jg,54403.32169,20.539,0.108,F,B,,,2010AJ....139..519C
SN2007jg,54403.32169,19.534,0.044,F,V,,,2010AJ....139..519C
SN2007jg,54403.32169,20.177,0.061,F,g,,,2010AJ....139..519C
SN2007jg,54403.32169,19.297,0.043,F,i,,,2010AJ....139..519C
SN2007jg,54403.32169,19.108,0.025,F,r,,,2010AJ....139..519C
SN2007jg,54404.34883,19.1900,0.0615,F,i',,,2012ApJS..200...12H
SN2007jg,54404.35115,19.3209,0.0606,F,r',,,2012ApJS..200...12H
SN2007jg,54404.35346,19.7729,0.1335,F,V,,,2012ApJS..200...12H
SN2007jg,54404.35647,20.7225,0.2360,F,B,,,2012ApJS..200...12H
SN2007jg,54406.39929,19.2356,0.0717,F,i',,,2012ApJS..200...12H
SN2007jg,54406.40160,19.3102,0.0584,F,r',,,2012ApJS..200...12H
SN2007jg,54406.40391,19.6332,0.0867,F,V,,,2012ApJS..200...12H
SN2007jg,54406.40691,20.9588,0.2378,F,B,,,2012ApJS..200...12H
SN2007jg,54407.36949,19.4124,0.0750,F,i',,,2012ApJS..200...12H
SN2007jg,54407.37178,19.3772,0.0564,F,r',,,2012ApJS..200...12H
SN2007jg,54407.37410,19.6964,0.0917,F,V,,,2012ApJS..200...12H
SN2007jg,54407.37712,20.6205,0.2750,F,B,,,2012ApJS..200...12H
SN2007jg,54408.381052,19.323,0.016,F,r',,SDSS,2014arXiv1401.3317S
SN2007jg,54408.381881,19.449,0.025,F,i',,SDSS,2014arXiv1401.3317S
SN2007jg,54408.382710,22.133,0.352,F,u',,SDSS,2014arXiv1401.3317S
SN2007jg,54408.383540,19.423,0.069,F,z',,SDSS,2014arXiv1401.3317S
SN2007jg,54408.384369,20.462,0.027,F,g',,SDSS,2014arXiv1401.3317S
SN2007jg,54409.33688,19.4479,0.0799,F,i',,,2012ApJS..200...12H
SN2007jg,54409.33919,19.3395,0.0700,F,r',,,2012ApJS..200...12H
SN2007jg,54409.34152,19.8047,0.1024,F,V,,,2012ApJS..200...12H
SN2007jg,54409.34453,21.2371,0.2894,F,B,,,2012ApJS..200...12H
SN2007jg,54411.24089,20.885,0.064,F,B,,,2010AJ....139..519C
SN2007jg,54411.24089,19.910,0.028,F,V,,,2010AJ....139..519C
SN2007jg,54411.24089,20.559,0.032,F,g,,,2010AJ....139..519C
SN2007jg,54411.24089,19.772,0.059,F,i,,,2010AJ....139..519C
SN2007jg,54411.24089,19.493,0.033,F,r,,,2010AJ....139..519C
SN2007jg,54411.339110,19.459,0.032,F,r',,SDSS,2014arXiv1401.3317S
SN2007jg,54411.339939,19.601,0.030,F,i',,SDSS,2014arXiv1401.3317S
SN2007jg,54411.340769,22.205,0.417,T,u',,SDSS,2014arXiv1401.3317S
SN2007jg,54411.341598,19.484,0.083,F,z',,SDSS,2014arXiv1401.3317S
SN2007jg,54411.342427,20.599,0.035,F,g',,SDSS,2014arXiv1401.3317S
SN2007jg,54412.33752,19.5589,0.1024,F,i',,,2012ApJS..200...12H
SN2007jg,54412.34053,19.5625,0.0769,F,r',,,2012ApJS..200...12H
SN2007jg,54412.34355,19.8517,0.1217,F,V,,,2012ApJS..200...12H
SN2007jg,54412.34975,21.0245,0.3443,F,B,,,2012ApJS..200...12H
SN2007jg,54413.23576,20.891,0.074,F,B,,,2010AJ....139..519C
SN2007jg,54413.23576,19.852,0.037,F,V,,,2010AJ....139..519C
SN2007jg,54413.23576,20.655,0.054,F,g,,,2010AJ....139..519C
SN2007jg,54413.23576,19.682,0.047,F,r,,,2010AJ....139..519C
SN2007jg,54413.379652,19.465,0.025,F,r',,SDSS,2014arXiv1401.3317S
SN2007jg,54413.380481,19.707,0.042,F,i',,SDSS,2014arXiv1401.3317S
SN2007jg,54413.381310,22.295,0.486,T,u',,SDSS,2014arXiv1401.3317S
SN2007jg,54413.382140,19.677,0.118,F,z',,SDSS,2014arXiv1401.3317S
SN2007jg,54413.382969,20.560,0.050,F,g',,SDSS,2014arXiv1401.3317S
SN2007jg,54413.39677,19.6295,0.0832,F,i',,,2012ApJS..200...12H
SN2007jg,54413.39979,19.5653,0.0660,F,r',,,2012ApJS..200...12H
SN2007jg,54413.40282,19.9828,0.1205,F,V,,,2012ApJS..200...12H
SN2007jg,54413.40884,21.1109,0.4092,F,B,,,2012ApJS..200...12H
SN2007jg,54415.391538,19.486,0.020,F,r',,SDSS,2014arXiv1401.3317S
SN2007jg,54415.392367,19.790,0.031,F,i',,SDSS,2014arXiv1401.3317S
SN2007jg,54415.393197,22.460,0.427,T,u',,SDSS,2014arXiv1401.3317S
SN2007jg,54415.394026,19.857,0.092,F,z',,SDSS,2014arXiv1401.3317S
SN2007jg,54415.394855,20.599,0.032,F,g',,SDSS,2014arXiv1401.3317S
SN2007jg,54416.24441,19.8778,0.1158,F,i',,,2012ApJS..200...12H
SN2007jg,54416.24744,19.6987,0.0770,F,r',,,2012ApJS..200...12H
SN2007jg,54416.25045,20.1021,0.1300,F,V,,,2012ApJS..200...12H
SN2007jg,54416.25417,21.1738,0.3024,F,B,,,2012ApJS..200...12H
SN2007jg,54417.23275,20.954,0.065,F,B,,,2010AJ....139..519C
SN2007jg,54417.23275,20.004,0.033,F,V,,,2010AJ....139..519C
SN2007jg,54417.23275,20.677,0.037,F,g,,,2010AJ....139..519C
SN2007jg,54417.23275,20.005,0.079,F,i,,,2010AJ....139..519C
SN2007jg,54417.23275,19.738,0.042,F,r,,,2010AJ....139..519C
SN2007jg,54417.381750,19.604,0.045,F,r',,SDSS,2014arXiv1401.3317S
SN2007jg,54418.379732,19.657,0.029,F,r',,SDSS,2014arXiv1401.3317S
SN2007jg,54418.380562,19.826,0.048,F,i',,SDSS,2014arXiv1401.3317S
SN2007jg,54418.381391,22.700,0.843,T,u',,SDSS,2014arXiv1401.3317S
SN2007jg,54418.382220,19.858,0.148,F,z',,SDSS,2014arXiv1401.3317S
SN2007jg,54418.383049,20.680,0.043,F,g',,SDSS,2014arXiv1401.3317S
SN2007jg,54419.25337,20.1353,0.1585,F,i',,,2012ApJS..200...12H
SN2007jg,54419.25639,19.8171,0.0963,F,r',,,2012ApJS..200...12H
SN2007jg,54419.25940,20.1738,0.1393,F,V,,,2012ApJS..200...12H
SN2007jg,54419.26496,21.0873,0.2785,F,B,,,2012ApJS..200...12H
SN2007jg,54421.19161,20.985,0.064,F,B,,,2010AJ....139..519C
SN2007jg,54421.19161,20.180,0.036,F,V,,,2010AJ....139..519C
SN2007jg,54421.19161,20.312,0.108,F,i,,,2010AJ....139..519C
SN2007jg,54421.19161,19.877,0.046,F,r,,,2010AJ....139..519C
SN2007jg,54422.28097,19.705,0.187,F,H,,,2010AJ....139..519C
SN2007jg,54422.28097,20.050,0.124,F,J,,,2010AJ....139..519C
SN2007jg,54422.28097,19.188,0.062,F,Y,,,2010AJ....139..519C
SN2007jg,54422.384559,19.761,0.032,F,r',,SDSS,2014arXiv1401.3317S
SN2007jg,54422.385388,20.059,0.053,F,i',,SDSS,2014arXiv1401.3317S
SN2007jg,54422.386218,22.483,0.664,T,u',,SDSS,2014arXiv1401.3317S
SN2007jg,54422.387047,20.206,0.191,F,z',,SDSS,2014arXiv1401.3317S
SN2007jg,54422.387876,20.683,0.039,F,g',,SDSS,2014arXiv1401.3317S
SN2007jg,54423.17377,20.840,0.104,F,B,,,2010AJ....139..519C
SN2007jg,54423.17377,20.105,0.063,F,V,,,2010AJ....139..519C
SN2007jg,54423.17377,20.658,0.063,F,g,,,2010AJ....139..519C
SN2007jg,54423.17377,20.459,0.123,F,i,,,2010AJ....139..519C
SN2007jg,54423.17377,19.865,0.048,F,r,,,2010AJ....139..519C
SN2007jg,54423.37499,20.3731,0.1928,F,i',,,2012ApJS..200...12H
SN2007jg,54423.37801,19.8560,0.0947,F,r',,,2012ApJS..200...12H
SN2007jg,54423.38102,20.3530,0.1708,F,V,,,2012ApJS..200...12H
SN2007jg,54423.38657,20.9125,0.2326,F,B,,,2012ApJS..200...12H
SN2007jg,54424.320537,19.834,0.031,F,r',,SDSS,2014arXiv1401.3317S
SN2007jg,54424.321366,20.136,0.043,F,i',,SDSS,2014arXiv1401.3317S
SN2007jg,54424.322196,22.718,0.788,T,u',,SDSS,2014arXiv1401.3317S
SN2007jg,54424.323025,20.135,0.116,F,z',,SDSS,2014arXiv1401.3317S
SN2007jg,54424.323854,20.754,0.059,F,g',,SDSS,2014arXiv1401.3317S
SN2007jg,54425.20951,20.914,0.170,F,B,,,2010AJ....139..519C
SN2007jg,54425.20951,19.806,0.154,F,H,,,2010AJ....139..519C
SN2007jg,54425.20951,20.358,0.127,F,J,,,2010AJ....139..519C
SN2007jg,54425.20951,20.028,0.089,F,V,,,2010AJ....139..519C
SN2007jg,54425.20951,19.390,0.029,F,Y,,,2010AJ....139..519C
SN2007jg,54425.20951,20.664,0.172,F,i,,,2010AJ....139..519C
SN2007jg,54425.20951,19.915,0.071,F,r,,,2010AJ....139..519C
SN2007jg,54431.31834,20.6780,0.2956,F,B,,,2012ApJS..200...12H
SN2007jg,54431.32782,20.5268,0.3570,F,V,,,2012ApJS..200...12H
SN2007jg,54433.27118,19.8382,0.3530,F,r',,,2012ApJS..200...12H
SN2007jg,54433.28156,20.8257,0.4040,F,B,,,2012ApJS..200...12H
SN2007jg,54437.31932,20.4486,0.3019,F,i',,,2012ApJS..200...12H
SN2007jg,54437.32231,20.2655,0.2730,F,r',,,2012ApJS..200...12H
SN2007jg,54437.32534,20.5838,0.2817,F,V,,,2012ApJS..200...12H
SN2007jg,54438.38458,20.7738,0.3157,F,i',,,2012ApJS..200...12H
SN2007jg,54438.39060,20.7158,0.2982,F,V,,,2012ApJS..200...12H
SN2007jg,54438.39800,20.7684,0.2655,F,B,,,2012ApJS..200...12H
