event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2007ld,54424.090543,22.460,0.864,T,u',,SDSS,2010ApJ...708..661D
SN2007ld,54424.091372,18.405,0.040,F,z',,SDSS,2010ApJ...708..661D
SN2007ld,54424.091372,18.418,0.042,F,z',,SDSS,2014arXiv1401.3317S
SN2007ld,54425.04,18.719,0.035,F,V,,,2014ApJ...786...67A
SN2007ld,54425.095318,18.346,0.044,F,z',,SDSS,2010ApJ...708..661D
SN2007ld,54425.095318,18.359,0.046,F,z',,SDSS,2014arXiv1401.3317S
SN2007ld,54431.103689,18.499,0.025,F,r',,SDSS,2014arXiv1401.3317S
SN2007ld,54431.103689,18.503,0.025,F,r',,SDSS,2010ApJ...708..661D
SN2007ld,54431.104518,18.338,0.026,F,i',,SDSS,2014arXiv1401.3317S
SN2007ld,54431.104518,18.340,0.025,F,i',,SDSS,2010ApJ...708..661D
SN2007ld,54431.105347,21.782,1.094,T,u',,SDSS,2014arXiv1401.3317S
SN2007ld,54431.105347,21.782,0.831,T,u',,SDSS,2010ApJ...708..661D
SN2007ld,54431.106176,18.435,0.091,F,z',,SDSS,2010ApJ...708..661D
SN2007ld,54431.106176,18.448,0.092,F,z',,SDSS,2014arXiv1401.3317S
SN2007ld,54431.107005,19.249,0.052,F,g',,SDSS,2014arXiv1401.3317S
SN2007ld,54431.107005,19.251,0.052,F,g',,SDSS,2010ApJ...708..661D
